ID	PISCO_MESS	ERA_MESS
COSTA CENTRO	<p style="text-align:justify"><span style="font-family:Arial,Helvetica,sans-serif"><strong><span style="font-size:12px">Temperatura máxima</span></strong><br /><span style="font-size:11px">Valores sobre <strong>26.47&deg;C</strong> generan disminución en la incidencia de dengue.</span><br/><span style="font-size:12px"><strong>Precipitaci&oacute;n total</strong></span><br/><span style="font-size:11px">No hay un umbral definido, sin embargo, un aumento de precipitaci&oacute;n muestra una relación directa con aumento el aumento de incidencias del dengue.</span><br/><span style="font-size:12px"><strong>Valor m&aacute;ximo mensual de la temperatura m&aacute;xima diaria</strong></span><br/><span style="font-size:11px">Valores sobre <strong>29.49 °C</strong> presentan un aumento en incidencia del dengue.</span><br/><span style="font-size:12px"><strong>Valor m&aacute;ximo mensual de la temperatura m&iacute;nima diaria</strong></span><br/><span style="font-size:11px">Valores sobre <strong>18.97 °C</strong> generan una tendencia de disminución de incidencia del dengue.</span></span></p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de punto rocío</b></br>Valores de entre <b>5.23°C a 8.54°C</b> mantiene estable la incidencia de ocurrencia del dengue, y a partir de este ultimo valor la incidencia disminuye conforme aumenta la temperatura de rocío. <br><br><b>Presión de superficie</b></br> Valores de <b>909.33 hPa a 938,44 hPa y 955.91 hPa a 967.56 hPa</b> son tramos de incremento donde la ocurrencia del vector aumenta. Mientras que los tramos de decrecimiento se dan entre <b>938,44 hPa a 955,91 hPa y de 967,56 hPa hacia delante</b>. Donde se podria considerar <b>938,44 hPa</b> como el punto de cambio hacia una tendencia negativa de incidencia del dengue. <br><br><b>Temperatura del aire a 2m</b></br>Valores en el rango de <b>15.04°C y 24.44°C</b> muestran que a mayor temperatura mayor incidencia.</p>
COSTA NORTE	"<p align=""justify""; style=""font-size: 11px;font-family: arial, helvetica, sans-serif""><b>Temperatura máxima</b></br>Valores entre <b>25.96°C a 33.35°C</b>, conforme aumenta la temperatura disminuye la incidencia de dengue, y valores sobre <b>33.35°C</b> influyen en una tendencia de disminución de la incidencia de dengue.<br><br><b>Temperatura mínima</b></br>Valores encima de <b>17.76°C</b> influyen en una tendencia de disminución en la incidencia de dengue.<br><br><b>Precipitación total</b></br>Valores mayores a <b>9.86 mm</b> influyen en la disminución de incidencia de dengue.<br><br><b>Valor máximo mensual de la temperatura mínima diaria</b></br>Valores sobre <b>23.36 °C</b> generan disminución en la incidencia de dengue.<br><br><b>Valor mínimo mensual de la temperatura máxima diaria</b></br>Valores sobre <b>23.1 °C</b> se genera una disminución de incidencia de dengue.<br><br><b>Valor mínimo mensual de la temperatura mínima diaria</b></br>Valores sobre <b>18.9 °C</b> se genera una disminución de la incidencia de dengue.<br><br><b>Indicador de duración de Ola calor</b></br>Cantidad arriba de <b>10 eventos de Ola de calor</b>, presentará una ligera disminución de incidencia del dengue.<br><br><b>Indicador de duración de Ola de frio</b>/br>Cantidad arriba de <b>11 eventos de Ola de frio</b>, genera una fuerte disminución en incidencia de dengue.</p>
"	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de punto rocío</b></br>Valor umbral superior a <b>15.04°C</b> muestra disminución en incidencia del dengue.<br><br><b>Potencial de evaporación</b></br> Valor umbral superior a <b>-5.82 mm</b>  empieza a disminuir la incidencia de dengue.</br><br><b>Temperatura de superficie</b></br>Valor umbral superior a <b>26.85°C</b> empieza a disminuir la incidencia de dengue.</br><br><b>Presión de superficie</b></br>valor umbral superior a <b>1008.13 hPa</b> influye en la disminución de la incidencia de dengue.</br><br> <b>Temperatura del aire a 2m</b></br>A mayor temperatura mayor incidencia de casos. Sin embargo, valor umbral sobre <b>24.83°C</b> aumenta de manera más pronunciada la incidencia.</br> <br><b>Precipitación total</b></br>Relación directa con la incidencia, desde <b>3.04 mm</b> va aumentando de manera exponencial.</p>
COSTA SUR	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Valor máximo mensual de temperatura máxima diaria</b></br>Valores sobre <b>35.42°C</b> genera una tendencia de aumento en incidencia de dengue.<br><br><b>Valor mínimo mensual de temperatura máxima diaria</b></br>Valores sobre <b>26.16°C</b> genera una tendencia de disminución en la incidencia del dengue.<br><br><b>Valor mínimo mensual de temperatura mínima diaria</b></br>Valores sobre <b>15.68°C</b> genera una tendencia de aumento en la incidencia del dengue.<br><br><b>Indicador de duración de ola de calor</b></br>Cantidad por encima de <b>13 eventos</b> genera una tendencia de disminución en incidencia del dengue.</p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Presión de superficie</b></br>Valores umbrales de <b>841.45 hPa a 924.22 hPa</b> presentan aumento acelerado de la incidencia del dengue, por encima del rango el patrón de incidencia es irregular. <br><br><b>Evaporación total</b></br>Valor umbral superior a <b>-1.75 mm</b> genera una aceleración en la incidencia de dengue. <br><br><b>Precipitación total</b></br>A mayor precipitación mayor incidencia hasta estabilizarse. Umbral entre <b>0 mm a 7.22 mm</b> se observa la tendencia de  aumento en incidencia.</p>
SELVA CENTRAL ALTA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura máxima</b></br>Valores sobre <b>27.58°C</b> genera una disminución en incidencia de dengue.<br><br><b>Temperatura mínima</b></br>Valores sobre <b>16.77 °C</b> genera un aumento en la incidencia del dengue.<br><br><b>Valor máximo mensual de temperatura mínima diaria</b></br>Valores sobre <b>16.18°C</b> genera una disminución en la incidencia de dengue.</p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de punto rocío</b></br>Valores umbrales encima de <b>12.58°C</b> la tendencia de la incidencia del dengue disminuye.<br><br><b>Evaporación potencial</b></br>Valor umbral superior a <b>-12.36 mmm</b> presenta una tendencia a la disminución en la incidencia del dengue.<br><br><b>Presión de superficie</b></br>Valor umbral por debajo de <b>871.45 hPa</b> generan una tendencia a disminuir en la incidencia de dengue.<br><br><b>Temperatura del aire a 2m</b></br>Conforme se aproxima al valor umbral de <b>20.15°C</b> disminuye la incidencia de dengue, y, conforme aumenta los valores de temperatura por encima de este umbral impacta en una tendencia de aumento de la incidencia de dengue</p>
SELVA CENTRAL BAJA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura mínima</b></br>Se presenta una relación irregular con la incidencia<br><br><b>Valor máximo mensual de temperatura máxima diaria</b></br>Valores sobre <b>33.41°C</b> disminuye la incidencia de dengue.<br><br><b>Valor máximo mensual de temperatura mínima diaria</b></br>Valores sobre <b>20°C</b> hay una tendencia de disminución en incidencia de dengue.<br><br><b>Valor mínimo mensual de temperatura máxima diaria</b></br>Valores sobre <b>28.62°C</b> hay una disminución en la incidencia de dengue.<br><br><b>Valor mínimo mensual de la temperatura mínima diaria</b></br>Valores sobre <b>19.19°C</b> presentan un fuerte aumento en la incidencia de dengue.</p>	"<p align=""justify""; style=""font-size: 11px;font-family: arial, helvetica, sans-serif""><b>Evaporación potencial</b></br>Valor umbral sobre <b>-17.18 mm</b> generan una tendencia de aumento en la incidencia de dengue.<br><br><b>Temperatura de superficie</b></br>Valor umbral sobre <b>20.41°C</b> genera una tendencia de disminución en la incidencia de dengue.<br><br><b>Presión de superficie</b></br>Valor umbral sobre <b>984.28 hPa</b> generan una tendencia de disminución en la incidencia de dengue.<br><br><b>Temperatura del aire a 2m</b></br>Valor umbral por encima de  <b>20.32°C</b>, señala una tendencia de aumento en la incidencia de dengue.<br><br><b>Evaporación total</b></br>Valor umbral por encima de <b>-4.78 mm</b>, hay una tendencia a disminuir la incidencia de dengue.<br><br><b>Precipitación total</b></br>No presenta un umbral definido, sin embargo, al aumentar la precipitación, se presenta una disminución en la incidencia del dengue.</p>
"
SELVA NORTE ALTA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura máxima</b></br>Valores sobre <b>30.45°C</b> hay una tendencia de disminución en la incidencia de dengue<br><br><b>Temperatura mínima</b></br>Valores sobre <b>18.32°C</b> presenta una fuerte tendencia de aumento de la incidencia de dengue.<br><br><b>Valor máximo mensual de la temperatura máxima</b></br>No hay un umbral especifico pero se obtiene que a mayor valor menor incidencia de dengue.<br><br><b>Valor máximo mensual de la temperatura mínima</b></br>Valores sobre <b>21.11°C</b> presenta una disminución fuerte en la incidencia de dengue.<br><br><b>Valor mínimo de la temperatura máxima </b></br>Valores de hasta <b>25.03°C</b> hay un aumento de incidencia conforme aumenta la temperatura, luego, el aumento de incidencia es ligero.</p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de rocio</b></br>Valor umbral por encima de <b>12.85°C</b> tiende a disminuir la incidencia del dengue.<br><br><b>Presion de superficie</b></br>Valores umbrales entre <b>866.52 hPa a 889.96 hPa y por sobre 920.82 hPa</b>, tienden a aumentar la incidencia del dengue.<br><br><b>Temperatura del aire a 2m</b></br>Valor umbral de entre <b>16.51°C a 25.09°C</b> presentan aumentos en la incidencia del dengue.<br><br><b>Evaporación total</b></br>Valores sobre <b>-4.56 mm</b> tiende a aumentar la incidencia de dengue.<br><br><b>Precipitación total</b></br>Valor umbral superior a <b>0.76 mm</b>, genera una tendencia de aumento en la incidencia del dengue.</p>
SELVA NORTE BAJA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura máxima</b></br>Valores sobre <b>30.99°C</b> genera una disminución en la incidencia de dengue.<br><br><b>Temperatura mínima</b></br>Valores sobre <b>20.69°C</b> genera un acelerado aumento en la incidencia de dengue<br><br><b>Precipitación total</b></br>Valores mayores a <b>1.82 mm</b> genera una tendencia de disminución en la incidencia del dengue.<br><br><b>Valor máximo de la temperatura mínima</b></br>Valores sobre <b>22.4°C</b> genera una fuerte disminución en la incidencia del dengue.</p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de rocio</b></br>Valores mayores a <b>18.09°C</b> genera una tendencia de disminución en la incidencia de dengue.<br><br><b>Evaporación potencial</b></br>valores mayores a <b>-28.94 mm</b> genera una tendencia de aumento de la incidencia.<br><br><b>Temperatura de superficie</b></br>Valores mayores a <b>20.32°C</b> genera una fuerte tendencia de disminución en la incidencia.<br><br><b>Presión de superficie</b></br>Valor superior a <b>994.23 hPa</b> genera una leve influencia en el aumento de la incidencia.<br><br><b>Temperatura de aire</b></br>Valores superiores a <b>20.53°C</b> genera una fuerte tendencia en el aumento de la incidencia.<br><br><b>Evaporación total</b></br>Valores superiores a <b>-3.94 mm</b>, genera una leve tendencia a disminuir la incidencia.<br><br><b>Precipitación total</b></br>Valores superiores a <b>12.16 mm</b>, genera una leve tendencia a disminuir la incidencia del dengue.</p>
SELVA SUR ALTA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>En esta región al modelarse se observo que los predictores son lineales entre si, no pudiedo utilizar el modelo aditivo generalizado.</b></br></p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>En esta región al tener pocas observaciones el modelo aditivo generalizado no se pudo aplicar.</b></br></p>
SELVA SUR BAJA	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura mínima</b></br>Valores sobre <b>31.5°C</b> la incidencia de dengue disminuye fuertemente.<br><br><b>Precipitación total</b></br>Valores sobre <b>14.96 mm</b>  genera una ligera disminución en la incidencia del dengue.<br><br><b>Valor máximo mensual de la temperatura máxima diaria</b></br>Valores sobre <b>17.8°C</b> disminuye la incidencia de dengue.</p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>Temperatura de rocío</b></br>Valor por encima de <b>16.02°C</b> presenta una tendencia de disminución en la incidencia del dengue.<br><br><b>Evaporación potencial</b></br>Valores entre <b>-35 mm a -15 mm</b> influyen en una tendencia de aumento de la incidencia<br><br><b>Presión de superficie</b></br>Valores entre <b>912.52 a 989.32 hPa</b> presentan un aumento de la incidencia, mientras que valores superiores a <b>989.32 hPa</b> influyen en una tendencia de disminución de la incidencia.<br><br><b>Evaporación total</b></br>Valores mayores a <b>-4.74 mm</b>, influyen en una tendencia de disminución de la incidencia.<br><br><b>Precipitación total</b></br>Valores entre <b>0 mm a 35 mm</b> genera una tendencia de aumento de la incidencia de dengue.</p>
SIERRA CENTRO OCCIDENTAL	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>En esta región al tener pocas observaciones el modelo aditivo generalizado no se pudo aplicar.</b></br></p>	<p align="justify"; style="font-size: 11px;font-family: arial, helvetica, sans-serif"><b>En esta región al tener pocas observaciones el modelo aditivo generalizado no se pudo aplicar.</b></br></p>
